,Team ID,Week,Matchup_ID,Home/Away,Total pts,QB,RB1,RB2,WR1,WR2,TE,RB/WR/TE,D/ST,HC
Thigpen's Awakening ᴿᴰ,8,7,2,Away,127.0,"['Kyler Murray', 'QB', 37.1]","['Ezekiel Elliott', 'RB', 5.6]","['Kareem Hunt', 'RB', 17.7]","['Calvin Ridley', 'WR', 17.4]","['Deebo Samuel', 'WR', 9.7]","['Jonnu Smith', 'TE', 1.4]","['Giovani Bernard', 'RB/WR/TE', 18.1]","['Bills D/ST', 'D/ST', 16.0]","['Rams Coach', 'HC', 4.0]"
Inhumane Texan Koch’n,9,7,3,Home,127.98,"['Josh Allen', 'QB', 16.38]","['Alvin Kamara', 'RB', 18.8]","['Clyde Edwards-Helaire', 'RB', 12.8]","['Davante Adams', 'WR', 38.1]","['Tee Higgins', 'WR', 16.3]","['Rob Gronkowski', 'TE', 14.7]","['Mike Williams', 'RB/WR/TE', 0.9]","['Chargers D/ST', 'D/ST', 9.0]","['Eagles Coach', 'HC', 1.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,7,3,Away,71.92,"['Cam Newton', 'QB', -0.18]","['Jerick McKinnon', 'RB', -0.1]","['AJ Dillon', 'RB', 1.1]","['Tyler Lockett', 'WR', 45.5]","['Chase Claypool', 'WR', 0.3]","['Noah Fant', 'TE', 5.3]","['Allen Robinson II', 'RB/WR/TE', 9.0]","['Packers D/ST', 'D/ST', 5.0]","['Packers Coach', 'HC', 6.0]"
Attorney Generals,6,7,4,Home,87.76,"['Carson Wentz', 'QB', 27.76]","['Darrell Henderson Jr.', 'RB', 8.6]","['Justin Jackson', 'RB', 8.0]","['DJ Moore', 'WR', 23.3]","['Michael Gallup', 'WR', 0.0]","['Dalton Schultz', 'TE', 3.2]","['Demarcus Robinson', 'RB/WR/TE', 0.9]","['Titans D/ST', 'D/ST', 6.0]","['Chiefs Coach', 'HC', 10.0]"
Big Maliggy Style,2,7,4,Away,118.98,"['Justin Herbert', 'QB', 38.48]","['Todd Gurley II', 'RB', 21.2]","['Devin Singletary', 'RB', 5.7]","['Robert Woods', 'WR', 4.0]","['Stefon Diggs', 'WR', 7.8]","['George Kittle', 'TE', 8.0]","['Antonio Gibson', 'RB/WR/TE', 18.8]","['Buccaneers D/ST', 'D/ST', 5.0]","['Buccaneers Coach', 'HC', 10.0]"
Dumpster Juice,12,7,5,Home,88.86,"['Tom Brady', 'QB', 36.86]","['David Johnson', 'RB', 14.4]","['Derrick Henry', 'RB', 14.2]","['Cooper Kupp', 'WR', 8.9]","['Tim Patrick', 'WR', 5.9]","['Hunter Henry', 'TE', 3.8]","['James White', 'RB/WR/TE', 0.8]","['Steelers D/ST', 'D/ST', 4.0]","['Patriots Coach', 'HC', 0.0]"
Tub Girl's Tub Scrubbers,5,7,5,Away,123.82,"['Matt Ryan', 'QB', 17.52]","['Latavius Murray', 'RB', 6.1]","['Boston Scott', 'RB', 16.7]","['Diontae Johnson', 'WR', 24.5]","['Keelan Cole Sr.', 'WR', 1.7]","['Darren Waller', 'TE', 14.0]","['DeAndre Hopkins', 'RB/WR/TE', 19.3]","['Chiefs D/ST', 'D/ST', 24.0]","['Titans Coach', 'HC', 0.0]"
Sausage Brainᴿᴰ,7,8,0,Home,84.96,"['Joe Burrow', 'QB', 18.86]","[""D'Andre Swift"", 'RB', 3.8]","['David Montgomery', 'RB', 11.5]","['A.J. Brown', 'WR', 10.4]","['Mike Evans', 'WR', 14.0]","['Harrison Bryant', 'TE', 2.0]","['Marvin Jones Jr.', 'RB/WR/TE', 17.4]","['Seahawks D/ST', 'D/ST', 7.0]","['Chargers Coach', 'HC', 0.0]"
 JNCO JEAN GENIE ,3,8,0,Away,71.74,"['Aaron Rodgers', 'QB', 22.54]","['Mike Davis', 'RB', 8.2]","['Josh Jacobs', 'RB', 12.9]","['A.J. Green', 'WR', 2.9]","['Nelson Agholor', 'WR', 0.0]","['Evan Engram', 'TE', 9.5]","['Melvin Gordon III', 'RB/WR/TE', 7.7]","['Rams D/ST', 'D/ST', 8.0]","['Ravens Coach', 'HC', 0.0]"
Inhumane Texan Koch’n,9,8,1,Home,103.36,"['Josh Allen', 'QB', 12.46]","['Alvin Kamara', 'RB', 20.8]","['Clyde Edwards-Helaire', 'RB', 4.6]","['Davante Adams', 'WR', 26.8]","['Tee Higgins', 'WR', 11.4]","['Rob Gronkowski', 'TE', 12.1]","['Jarvis Landry', 'RB/WR/TE', 7.2]","['Chargers D/ST', 'D/ST', 4.0]","['Eagles Coach', 'HC', 4.0]"
Big Maliggy Style,2,8,1,Away,108.72,"['Justin Herbert', 'QB', 21.22]","['Todd Gurley II', 'RB', 10.6]","['Devin Singletary', 'RB', 9.7]","['Robert Woods', 'WR', 24.9]","['Stefon Diggs', 'WR', 12.2]","['George Kittle', 'TE', 4.9]","['Keenan Allen', 'RB/WR/TE', 17.2]","['Buccaneers D/ST', 'D/ST', 7.0]","['Buccaneers Coach', 'HC', 1.0]"
Dumpster Juice,12,8,2,Home,83.16,"['Tom Brady', 'QB', 19.06]","['James White', 'RB', 4.5]","['Derrick Henry', 'RB', 17.2]","['Cooper Kupp', 'WR', 16.5]","['Tim Patrick', 'WR', 0.0]","['Hunter Henry', 'TE', 5.3]","['John Brown', 'RB/WR/TE', 2.6]","['Steelers D/ST', 'D/ST', 18.0]","['Patriots Coach', 'HC', 0.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,8,2,Away,60.26,"['Jimmy Garoppolo', 'QB', 1.76]","['J.K. Dobbins', 'RB', 12.6]","['Tevin Coleman', 'RB', 2.0]","['Allen Robinson II', 'WR', 17.7]","['Tyler Lockett', 'WR', 5.3]","['Noah Fant', 'TE', 8.2]","['Jalen Reagor', 'RB/WR/TE', 11.7]","['Packers D/ST', 'D/ST', 1.0]","['Packers Coach', 'HC', 0.0]"
